group,latin_name,species,support,mode,submode,description,tooling_or_IOU,frame_of_reference,number_relations,temporal_order,1_dynamic_relation,2_dynamic_relation,manufacture,steps_manufacture,associative,type_associative,reference,total_references,page,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus frugilegus,Rook,,drop,drop_raise,drop stones to raise water level to access floating reward,IOU,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus frugilegus,Rook,experimental,probe,reach_access,probe into tube with twig/hook for reward in bucket,tooling,allocentric,1,stick/hook to reward,dynamic,,yes,1,no,,Bird & Emery 2009,1,47,Bent wire into hooks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus moneduloides,New Caledonian crow,observational,dig,probe_access,probe through loose substrate with stems,tooling,allocentric,1,stem to substrate,dynamic,,no,,no,,Rutz et al. 2007,1,42,Travel with/re-use tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus moneduloides,New Caledonian crow,observational/experimental,probe,probe_access,probe holes/crevices/under debris with sticks/stems/Pandanus hook tools,tooling,allocentric,1,stick to hole,dynamic,,yes, 1-3,no,,"Chappell & Kacelnik 2002; Cunisset 1909 in Hunt 2000; Hanne?cart and Le?tocart 1980 in Hunt 2000; Holzhaider et al. 2008; Hunt 1996, 2000a, 2000b; Hunt & Gray 2002, 2003, 2004a, 2004b, 2006, 2007; Hunt, Lambert & Gray, 2007; Hunt, Rutledge & Gray 2006; Kenward et al. 2005, 2006; Le Goupils 1928 in Hunt 2000; Orenstein 1972; Rutledge & Hunt 2004; Taylor et al. 2009; Troscianko, Bluff & Rutz 2008; Weir, Chappell & Kacelnik, 2002; Weir et al. 2004",24,44-47,"carry tools from stop to stop. Selective in tool material selection. Hook tools multiple manufacture steps (detach at fork, sculpt, remove any leaves and sharpen hook; qualify as ""tool Crafting"" by Shumaker), Pandanus tools multiple steps as well (detach, then cut w/ steps to a point; fold into ""boomerang"" shape); also remove twiglet protrusions after detaching a stick. Evidence that disposition, social learning and trial-and-error learning are important. tool manufacture/innovation seen in the lab. sequential tool use seen in lab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus ossifragus,Fish crow,,drop,drop_threat,drop grass on nesting birds (to harrass to access eggs?),IOU,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus rhipidurus,Fan-tailed raven,,drag,throw_open,"flip a stone over an ""egg"" (actually a ping pong ball)",IOU,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus rhipidurus,Fan-tailed raven,anecdotal,pound,hammer_open,"hammer on ""egg"" with rock (actually a ping pong ball)",tooling,allocentric,1,"rock to ""egg""",dynamic,,no,,no,,Andersson 1989,1,41,Seen in only one animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus splendens,Indian house crow,anecdotal,probe,fish_access,probe cavity with leaf to extract ants,tooling,allocentric,1,leaf to cavity,dynamic,,no,,no,,Rajan & Balasubramanian 1989,1,47,Seen in only one animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanistes caeruleus,Blue tit,anecdotal,probe,probe_access,probe nut hopper with twig,tooling,allocentric,1,twig to nut hopper,dynamic,,no,,no,,Boswall 1977 (pers. Comm),1,44,Pers. comm by M. Coombes. Seen in only one animal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanocitta cristata,Blue jay,,drop,drop_raise,drop debris to raise water to drinking level,IOU,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
