row,studyID,authors,year,title,journal,species,n,female,dropout,age,site,attempt_replication,successful_replication,species_comparison
537,151,"Sánchez-Amaro, Peretó, Call",2015,"Differences in Between-Reinforcer Value Modulate the Selective-Value Effect in Great Apes (Pan troglodytes, P. paniscus, Gorilla gorilla, Pongo abelii)",Journal of Comparative Psychology,Western gorilla,4,3,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,yes
538,151,"Sánchez-Amaro, Peretó, Call",2015,"Differences in Between-Reinforcer Value Modulate the Selective-Value Effect in Great Apes (Pan troglodytes, P. paniscus, Gorilla gorilla, Pongo abelii)",Journal of Comparative Psychology,orangutan,7,5,1,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
539,151,"Sánchez-Amaro, Peretó, Call",2015,"Differences in Between-Reinforcer Value Modulate the Selective-Value Effect in Great Apes (Pan troglodytes, P. paniscus, Gorilla gorilla, Pongo abelii)",Journal of Comparative Psychology,chimpanzee,22,15,2,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
540,151,"Sánchez-Amaro, Peretó, Call",2015,"Differences in Between-Reinforcer Value Modulate the Selective-Value Effect in Great Apes (Pan troglodytes, P. paniscus, Gorilla gorilla, Pongo abelii)",Journal of Comparative Psychology,bonobo,10,6,2,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
541,94,"Sánchez-Amaro, Duguid, Call, Tomasello",2016,Chimpanzees coordinate in a snowdrift game,Animal Behaviour,chimpanzee,12,7,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
542,89,"Sánchez-Amaro, Duguid, Call, Tomasello",2019,Chimpanzees and children avoid mutual defection in a social dilemma,Evolution and Human Behavior,chimpanzee,14,7,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
543,158,"Sánchez-Amaro, Altinok, Heintz, Call",2019,Disentangling great apes' decoy-effect in a food choice task,Animal Behavior and Cognition,bonobo,7,5,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
544,158,"Sánchez-Amaro, Altinok, Heintz, Call",2019,Disentangling great apes' decoy-effect in a food choice task,Animal Behavior and Cognition,chimpanzee,14,7,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
545,158,"Sánchez-Amaro, Altinok, Heintz, Call",2019,Disentangling great apes' decoy-effect in a food choice task,Animal Behavior and Cognition,Western gorilla,3,2,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,no
546,158,"Sánchez-Amaro, Altinok, Heintz, Call",2019,Disentangling great apes' decoy-effect in a food choice task,Animal Behavior and Cognition,orangutan,8,5,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,no
547,124,"Ballesta, Reymond,  Pozzobon, Duhamel",2014,Compete to Play: Trade-Off with Social Contact in Long-Tailed Macaques (Macaca fascicularis),PLOS ONE,long-tailed macaque,4,0,NA,juvenile,CNRS Centre de Neuroscience Cognitive,no,NA,no
548,530,"Joly, Ammersdörfer, Schmidtke, Zimmermann",2014,"Touchscreen-Based Cognitive Tasks Reveal Age-Related Impairment in a Primate Aging Model, the Grey Mouse Lemur (Microcebus murinus)",PLOS ONE,gray mouse lemur,30,16,0,adult,University of Veterinary Medicine Hannover,no,NA,no
549,164,"Edwards, Rottman, Shankar, Betzler, Chituc, Rodriguez, Silva, Wibecan, Widness, Santos",2014,Do Capuchin Monkeys (Cebus apella) Diagnose Causal Relations in the Absence of a Direct Reward?,PLOS ONE,tufted capuchin,6,3,0,NA,Comparative Cognition Laboratory at Yale,no,NA,no
550,38,"Marzouki, Gullstrand, Goujon, Fagot",2014,Baboons' Response Speed Is Biased by Their Moods,PLOS ONE,Guinea baboon,6,0,0,mixed,CNRS Primate Centre in Rousset-sur-Arc,no,NA,no
551,196,"Sutcliffe, Beaumont, Watson, Chew, Beconi, Hutcheson, Dominguez, Munoz-Sanjuan",2014,Efficacy of Selective PDE4D Negative Allosteric Modulators in the Object Retrieval Task in Female Cynomolgus Monkeys (Macaca fascicularis),PLOS ONE,long-tailed macaque,16,16,0,adult,CNRS INSERM,no,NA,no
552,187,"Etienne, Guthrie, Goillandeau, Nguyen, Orignac, Gross, Boraud",2014,Easy Rider: Monkeys Learn to Drive a Wheelchair to Navigate through a Complex Maze,PLOS ONE,rhesus macaque,3,3,NA,NA,Institut des Maladies Neurodégénératives,no,NA,no
553,9,"Mayer, Call, Albiach-Serrano, Visalberghi, Sabbatini, Seed",2014,Abstract Knowledge in the Broken-String Problem: Evidence from Nonhuman Primates and Pre-Schoolers,PLOS ONE,tufted capuchin,9,4,NA,mixed,ISTC-CNR Primate Centre,no,NA,yes
554,9,"Mayer, Call, Albiach-Serrano, Visalberghi, Sabbatini, Seed",2014,Abstract Knowledge in the Broken-String Problem: Evidence from Nonhuman Primates and Pre-Schoolers,PLOS ONE,bonobo,6,3,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
555,9,"Mayer, Call, Albiach-Serrano, Visalberghi, Sabbatini, Seed",2014,Abstract Knowledge in the Broken-String Problem: Evidence from Nonhuman Primates and Pre-Schoolers,PLOS ONE,chimpanzee,12,9,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
556,90,"Kret, Tomonaga, Matsuzawa",2014,Chimpanzees and Humans Mimic Pupil-Size of Conspecifics,PLOS ONE,chimpanzee,8,6,0,mixed,Primate Research Institute,no,NA,no
557,487,Adachi,2014,Spontaneous Spatial Mapping of Learned Sequence in Chimpanzees: Evidence for a SNARC-Like Effect,PLOS ONE,chimpanzee,5,5,NA,mixed,Primate Research Institute,no,NA,no
558,244,"Leimgruber, Ward, Widness, Norton, Olson, Gray, Santos",2014,Give What You Get: Capuchin Monkeys (Cebus apella) and 4-Year-Old Children Pay Forward Positive and Negative Outcomes to Conspecifics,PLOS ONE,tufted capuchin,4,3,0,adult,Comparative Cognition Laboratory at Yale,no,NA,no
559,491,"Haslam, Cardoso, Visalberghi, Fragaszy",2014,Stone Anvil Damage by Wild Bearded Capuchins (Sapajus libidinosus) during Pounding Tool Use: A Field Experiment,PLOS ONE,tufted capuchin,19,11,0,mixed,Fazenda Boa Vista Field Laboratory,no,NA,no
560,492,"House, Silk, Lambeth, Schapiro",2014,Task Design Influences Prosociality in Captive Chimpanzees (Pan troglodytes),PLOS ONE,chimpanzee,18,13,NA,adult,Michale E. Keeling Center for Comparative Medicine and Research,yes,yes,no
561,518,"Evans, Perdue, Beran",2014,The Relationship between Event-Based Prospective Memory and Ongoing Task Performance in Chimpanzees (Pan troglodytes),PLOS ONE,chimpanzee,3,2,0,adult,Language Research Center,no,NA,no
562,349,"Monfardini, Hadj-Bouziane, Meunier",2014,"Model-Observer Similarity, Error Modeling and Social Learning in Rhesus Macaques",PLOS ONE,rhesus macaque,6,3,NA,juvenile,CNRS Centre de Neuroscience Cognitive,no,NA,no
563,396,"da Costa, Bicca-Marques",2014,Owl Monkeys (Aotus nigriceps and A. infulatus) Follow Routes Instead of Food-Related Cues during Foraging in Captivity,PLOS ONE,black-headed owl monkey,6,4,NA,adult,Criadouro Conservacionista de Animais Silvestres Arca de Noé,no,NA,no
564,396,"da Costa, Bicca-Marques",2014,Owl Monkeys (Aotus nigriceps and A. infulatus) Follow Routes Instead of Food-Related Cues during Foraging in Captivity,PLOS ONE,Azara's owl monkey,4,1,NA,adult,Criadouro Conservacionista de Animais Silvestres Arca de Noé,no,NA,no
565,183,"Liebal, Vaish, Haun, Tomasello",2014,Does Sympathy Motivate Prosocial Behaviour in Great Apes?,PLOS ONE,chimpanzee,6,5,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,yes
566,183,"Liebal, Vaish, Haun, Tomasello",2014,Does Sympathy Motivate Prosocial Behaviour in Great Apes?,PLOS ONE,chimpanzee,23,12,NA,adult,Ngamba Island Chimpanzee Sanctuary,no,NA,yes
567,183,"Liebal, Vaish, Haun, Tomasello",2014,Does Sympathy Motivate Prosocial Behaviour in Great Apes?,PLOS ONE,bonobo,6,3,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
568,183,"Liebal, Vaish, Haun, Tomasello",2014,Does Sympathy Motivate Prosocial Behaviour in Great Apes?,PLOS ONE,Western gorilla,4,3,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
569,183,"Liebal, Vaish, Haun, Tomasello",2014,Does Sympathy Motivate Prosocial Behaviour in Great Apes?,PLOS ONE,orangutan,14,8,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,yes
570,183,"Liebal, Vaish, Haun, Tomasello",2014,Does Sympathy Motivate Prosocial Behaviour in Great Apes?,PLOS ONE,orangutan,7,6,NA,adult,Orangutan Care Center and Quarantine,no,NA,yes
571,490,"Chen, Sanayei, Thiele",2014,Stimulus Roving and Flankers Affect Perceptual Learning of Contrast Discrimination in Macaca mulatta,PLOS ONE,rhesus macaque,2,0,0,adult,Newcastle University,no,NA,no
572,182,"Truppa, Carducci, Trapanese, Hanus",2015,Does Presentation Format Influence Visual Size Discrimination in Tufted Capuchin Monkeys (Sapajus spp.)?,PLOS ONE,tufted capuchin,8,4,0,adult,ISTC-CNR Primate Centre,no,NA,no
573,131,"Collet, Fize, VanRullen",2015,Contextual Congruency Effect in Natural Scene Categorization: Different Strategies in Humans and Monkeys (Macaca mulatta),PLOS ONE,rhesus macaque,2,0,0,adult,Centre de Recherche Cerveau & Cognition,no,NA,no
574,279,"Kishimoto, Yamamoto, Suzuki, Toyoda, Kano, Tsukada, Kirino",2015,Implicit Memory in Monkeys: Development of a Delay Eyeblink Conditioning System with Parallel Electromyographic and High-Speed Video Measurements,PLOS ONE,rhesus macaque,5,0,0,adult,Tokushima Bunri University,no,NA,no
575,4,"Beran, Heimbauer",2015,A Longitudinal Assessment of Vocabulary Retention in Symbol-Competent Chimpanzees (Pan troglodytes),PLOS ONE,chimpanzee,4,2,0,adult,Language Research Center,no,NA,no
576,275,"Myowa-Yamakoshi, Yoshida, Hirata",2015,Humans but Not Chimpanzees Vary Face-Scanning Patterns Depending on Contexts during Action Observation,PLOS ONE,chimpanzee,6,4,0,adult,Great Ape Research Institute,no,NA,no
577,315,"Picq, Villain, Gary, Pifferi, Dhenain",2015,Jumping Stand Apparatus Reveals Rapidly Specific Age-Related Cognitive Impairments in Mouse Lemur Primates,PLOS ONE,gray mouse lemur,20,0,0,adult,CNRS National Museum of Natural History,no,NA,no
578,162,"Hattori, Tomonaga, Matsuzawa",2015,Distractor Effect of Auditory Rhythms on Self-Paced Tapping in Chimpanzees and Humans,PLOS ONE,chimpanzee,3,2,0,adult,Primate Research Institute,no,NA,no
579,163,"Mangalam, Desai, Singh",2015,"Division of Labor in Hand Usage Is Associated with Higher Hand Performance in Free-Ranging Bonnet Macaques, Macaca radiata",PLOS ONE,bonnet macaque,16,9,0,mixed,Chamundi Hill range,no,NA,no
580,472,"Kano, Hirata, Call",2015,Social Attention in the Two Species of Pan: Bonobos Make More Eye Contact than Chimpanzees,PLOS ONE,bonobo,6,4,NA,adult,Kumamoto Sanctuary,no,NA,yes
581,472,"Kano, Hirata, Call",2015,Social Attention in the Two Species of Pan: Bonobos Make More Eye Contact than Chimpanzees,PLOS ONE,chimpanzee,6,5,NA,mixed,Kumamoto Sanctuary,no,NA,yes
582,472,"Kano, Hirata, Call",2015,Social Attention in the Two Species of Pan: Bonobos Make More Eye Contact than Chimpanzees,PLOS ONE,bonobo,8,4,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
583,472,"Kano, Hirata, Call",2015,Social Attention in the Two Species of Pan: Bonobos Make More Eye Contact than Chimpanzees,PLOS ONE,chimpanzee,14,8,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
584,118,"Munar, Gómez-Puerto, Call, Nadal",2015,Common Visual Preference for Curved Contours in Humans and Great Apes,PLOS ONE,chimpanzee,7,3,NA,mixed,Wolfgang Köhler Primate Research Center,no,NA,yes
585,118,"Munar, Gómez-Puerto, Call, Nadal",2015,Common Visual Preference for Curved Contours in Humans and Great Apes,PLOS ONE,Western gorilla,2,2,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,yes
586,353,"Blanchard, Hayden",2015,Monkeys Are More Patient in a Foraging Task than in a Standard Intertemporal Choice Task,PLOS ONE,rhesus macaque,4,0,0,adult,University of Rochester,no,NA,no
587,185,"Sclafani, Del Rosso, Seil, Calonder, Madrid, Bone, Sherr, Garner, Capitanio, Parker",2016,Early Predictors of Impaired Social Functioning in Male Rhesus Macaques (Macaca mulatta),PLOS ONE,rhesus macaque,164,0,0,juvenile,California National Primate Research Center,no,NA,no
588,384,"Arroyo, Hirata, Matsuzawa, de la Torre",2016,Nut Cracking Tools Used by Captive Chimpanzees (Pan troglodytes) and Their Comparison with Early Stone Age Percussive Artefacts from Olduvai Gorge,PLOS ONE,chimpanzee,4,3,0,adult,Kumamoto Sanctuary,no,NA,no
589,243,"Kret, Tomonaga",2016,Getting to the Bottom of Face Processing. Species-Specific Inversion Effects for Faces and Behinds in Humans and Chimpanzees (Pan Troglodytes),PLOS ONE,chimpanzee,5,4,0,adult,Primate Research Institute,no,NA,no
590,524,"Juan, Cappe, Alric, Roby, Gilardeau, Barone, Girard",2017,The variability of multisensory processes of natural stimuli in human and non-human primates in a detection task,PLOS ONE,rhesus macaque,2,0,0,adult,Centre de Recherche Cerveau & Cognition,no,NA,no
591,253,"Buttelmann, Buttelmann, Carpenter, Call, Tomasello",2017,Great apes distinguish true from false beliefs in an interactive helping task,PLOS ONE,chimpanzee,23,16,0,mixed,Wolfgang Köhler Primate Research Center,yes,yes,yes
592,253,"Buttelmann, Buttelmann, Carpenter, Call, Tomasello",2017,Great apes distinguish true from false beliefs in an interactive helping task,PLOS ONE,bonobo,5,3,0,adult,Wolfgang Köhler Primate Research Center,yes,yes,yes
593,253,"Buttelmann, Buttelmann, Carpenter, Call, Tomasello",2017,Great apes distinguish true from false beliefs in an interactive helping task,PLOS ONE,orangutan,6,5,0,mixed,Wolfgang Köhler Primate Research Center,yes,yes,yes
594,523,"Gray, Pearce, Thiele, Rowe",2017,The use of preferred social stimuli as rewards for rhesus macaques in behavioural neuroscience,PLOS ONE,rhesus macaque,4,0,NA,adult,Newcastle University,no,NA,no
595,406,"Altschul, Jensen, Terrace",2017,Perceptual category learning of photographic and painterly stimuli in rhesus macaques (Macaca mulatta) and humans,PLOS ONE,rhesus macaque,7,0,0,adult,New York State Psychiatric Institute,no,NA,yes
596,311,"Wallace, Altschul, Körfer, Benti, Kaeser, Lambeth, Waller, Slocombe",2017,Is music enriching for group-housed captive chimpanzees (Pan troglodytes)?,PLOS ONE,chimpanzee,18,10,NA,mixed,Edinburgh Zoo,yes,yes,no
597,311,"Wallace, Altschul, Körfer, Benti, Kaeser, Lambeth, Waller, Slocombe",2017,Is music enriching for group-housed captive chimpanzees (Pan troglodytes)?,PLOS ONE,chimpanzee,38,18,NA,mixed,Michale E. Keeling Center for Comparative Medicine and Research,yes,yes,no
